date,ticker,price
2024-01-01,AAPL,148.639832647087
2024-01-02,AAPL,148.82522167094183
2024-01-03,AAPL,149.63543421126764
2024-01-04,AAPL,149.87852350379734
2024-01-05,AAPL,149.75724866179948
2024-01-06,AAPL,149.47940912184518
2024-01-07,AAPL,148.45151474232918
2024-01-08,AAPL,148.64646819784258
2024-01-09,AAPL,149.27368232044122
2024-01-10,AAPL,148.26528805967962
2024-01-11,AAPL,149.16920385122935
2024-01-12,AAPL,149.98053056035283
2024-01-13,AAPL,148.4703996815005
2024-01-14,AAPL,148.92460061390895
2024-01-15,AAPL,149.4577275449045
2024-01-16,AAPL,148.85993514979947
2024-01-17,AAPL,149.13726786547653
2024-01-18,AAPL,148.14812210817408
2024-01-19,AAPL,147.92120031138865
2024-01-20,AAPL,148.23069985427267
